ID;TITLE;YEAR;AUTHORS;VENUE;VENUE_TYPE;SOURCE;CATEGORY;DETECTION;DETECTED_BY;KEY;BIBTEX
P011;An Empirical Study of unreleased resource handles in GitHub Projects;2022;Kumar, S.;International Conference on Software Quality Engineering;Conference;ACM;Memory Safety;Runtime;Human;kumarICSQE2022;@InProceedings{kumarICSQE2022, author = {Kumar, S.}, booktitle = {International Conference on Software Quality Engineering}, series = {ICSQE '22}, title = {An Empirical Study of unreleased resource handles in GitHub Projects}, year = {2022}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}, address = {}, month = {}}
P012;A Taxonomy of livelock conditions in Continuous Integration Pipelines;2018;Petrova, I. and Fischer, R.;Symposium on Empirical Software Practices;Conference;DBLP;Concurrency, Dependency Management;Build;Human;petrovaSESP2018;@InProceedings{petrovaSESP2018, author = {Petrova, I. and Fischer, R.}, booktitle = {Symposium on Empirical Software Practices}, series = {SESP '18}, title = {A Taxonomy of livelock conditions in Continuous Integration Pipelines}, year = {2018}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}, address = {}, month = {}}
P013;An Empirical Study of transitive dependency breakages in GitHub Projects;2023;Chen, W.;International Workshop on Software Dependability;Conference;DBLP;Dependency Management;Runtime;Human;chenIWSD2023;@InProceedings{chenIWSD2023, author = {Chen, W.}, booktitle = {International Workshop on Software Dependability}, series = {IWSD '23}, title = {An Empirical Study of transitive dependency breakages in GitHub Projects}, year = {2023}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}, address = {}, month = {}}
P014;Characterizing thread-safety violations Across Large-Scale Software Ecosystems;2018;Nguyen, T. and Lee, K. and Novak, D.;Journal of Systems Dependability;Journal;ACM;Concurrency, Dependency Management;Runtime;Human;nguyenJSD2018;@article{nguyenJSD2018, author = {Nguyen, T. and Lee, K. and Novak, D.}, journal = {Journal of Systems Dependability}, title = {Characterizing thread-safety violations Across Large-Scale Software Ecosystems}, year = {2018}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}}
P015;Automated Repair of deadlocks in Large-Scale Rust Repositories;2022;Haddad, R. and Chen, W.;arXiv;arXiv;arXiv;Concurrency, Dependency Management;Runtime;Human;haddadArxiv2022;@misc{haddadArxiv2022, title = {Automated Repair of deadlocks in Large-Scale Rust Repositories}, author = {Haddad, R. and Chen, W.}, archivePrefix = {arXiv}, year = {2022}, publisher = {arXiv}, doi = {10.48550/arXiv.2569.04487}, url = {https://doi.org/10.48550/arXiv.2569.04487}}
P016;Mining thread-safety violations Patterns in Open-Source Java Repositories;2019;Lee, K.;International Workshop on Software Dependability;Conference;DBLP;Concurrency, Dependency Management;Runtime;Human;leeIWSD2019;@InProceedings{leeIWSD2019, author = {Lee, K.}, booktitle = {International Workshop on Software Dependability}, series = {IWSD '19}, title = {Mining thread-safety violations Patterns in Open-Source Java Repositories}, year = {2019}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}, address = {}, month = {}}
P017;Detecting package resolution failures via Static Analysis of GitHub Repositories;2026;Kumar, S. and Silva, F. and Nguyen, T.;Transactions on Software Quality;Journal;ACM;Dependency Management;Build;LLM;kumarTSQ2026;@article{kumarTSQ2026, author = {Kumar, S. and Silva, F. and Nguyen, T.}, journal = {Transactions on Software Quality}, title = {Detecting package resolution failures via Static Analysis of GitHub Repositories}, year = {2026}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}}
P018;Toward Automated Detection of memory leaks in Open-Source Code;2018;Novak, D.;Workshop on Open-Source Failure Analysis;Conference;IEEE;Memory Safety;Runtime;Human;novakOSFA2018;@InProceedings{novakOSFA2018, author = {Novak, D.}, booktitle = {Workshop on Open-Source Failure Analysis}, series = {OSFA '18}, title = {Toward Automated Detection of memory leaks in Open-Source Code}, year = {2018}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}, address = {}, month = {}}
P019;Understanding the Prevalence of race conditions in GitHub Issue Trackers;2022;Garcia, M.;Journal of Empirical Software Studies;Journal;DBLP;Concurrency;Runtime;Human;garciaJESS2022;@article{garciaJESS2022, author = {Garcia, M.}, journal = {Journal of Empirical Software Studies}, title = {Understanding the Prevalence of race conditions in GitHub Issue Trackers}, year = {2022}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}}
P020;Root-Cause Analysis of dependency version conflicts in Large Open-Source Projects;2018;Kumar, S. and Silva, F. and Rossi, P.;Symposium on Empirical Software Practices;Conference;DBLP;Dependency Management;Runtime;Human;kumarSESP2018;@InProceedings{kumarSESP2018, author = {Kumar, S. and Silva, F. and Rossi, P.}, booktitle = {Symposium on Empirical Software Practices}, series = {SESP '18}, title = {Root-Cause Analysis of dependency version conflicts in Large Open-Source Projects}, year = {2018}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}, address = {}, month = {}}
P021;Benchmarking Detection Tools for atomicity violations in GitHub Repositories;2024;Silva, F.;arXiv;arXiv;arXiv;Concurrency;Static;Human;silvaArxiv2024;@misc{silvaArxiv2024, title = {Benchmarking Detection Tools for atomicity violations in GitHub Repositories}, author = {Silva, F.}, archivePrefix = {arXiv}, year = {2024}, publisher = {arXiv}, doi = {10.48550/arXiv.2311.08883}, url = {https://doi.org/10.48550/arXiv.2311.08883}}
P022;Understanding the Prevalence of buffer overflows in GitHub Issue Trackers;2023;Fischer, R.;Journal of Empirical Software Studies;Journal;IEEE;Memory Safety;Runtime;LLM;fischerJESS2023;@article{fischerJESS2023, author = {Fischer, R.}, journal = {Journal of Empirical Software Studies}, title = {Understanding the Prevalence of buffer overflows in GitHub Issue Trackers}, year = {2023}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}}
P023;A Taxonomy of atomicity violations in Continuous Integration Pipelines;2018;Okafor, N. and Kumar, S.;Journal of Software Failure Analysis;Journal;DBLP;Concurrency;Build;Human;okaforJSFA2018;@article{okaforJSFA2018, author = {Okafor, N. and Kumar, S.}, journal = {Journal of Software Failure Analysis}, title = {A Taxonomy of atomicity violations in Continuous Integration Pipelines}, year = {2018}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}}
P024;Build-Time Detection of livelock conditions in Continuous Integration Systems;2026;Nguyen, T. and Garcia, M.;International Conference on Software Quality Engineering;Conference;DBLP;Concurrency;Build;LLM;nguyenICSQE2026;@InProceedings{nguyenICSQE2026, author = {Nguyen, T. and Garcia, M.}, booktitle = {International Conference on Software Quality Engineering}, series = {ICSQE '26}, title = {Build-Time Detection of livelock conditions in Continuous Integration Systems}, year = {2026}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}, address = {}, month = {}}
P025;Mining missing build artifacts Patterns in Open-Source C Repositories;2019;Andersson, L. and Fischer, R. and Novak, D.;International Conference on Repository Mining;Conference;ACM;Dependency Management;Build;Human;anderssonICRM2019;@InProceedings{anderssonICRM2019, author = {Andersson, L. and Fischer, R. and Novak, D.}, booktitle = {International Conference on Repository Mining}, series = {ICRM '19}, title = {Mining missing build artifacts Patterns in Open-Source C Repositories}, year = {2019}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}, address = {}, month = {}}
P026;A Replication Study on synchronization failures Detection in Open-Source Rust Software;2026;Rossi, P. and Andersson, L.;International Conference on Software Quality Engineering;Conference;IEEE;Concurrency, Memory Safety;Runtime;LLM;rossiICSQE2026;@InProceedings{rossiICSQE2026, author = {Rossi, P. and Andersson, L.}, booktitle = {International Conference on Software Quality Engineering}, series = {ICSQE '26}, title = {A Replication Study on synchronization failures Detection in Open-Source Rust Software}, year = {2026}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}, address = {}, month = {}}
P027;Characterizing race conditions Across Large-Scale Software Ecosystems;2022;Haddad, R.;Journal of Automated Software Engineering Research;Journal;IEEE;Concurrency, Dependency Management;Runtime;Human;haddadJASER2022;@article{haddadJASER2022, author = {Haddad, R.}, journal = {Journal of Automated Software Engineering Research}, title = {Characterizing race conditions Across Large-Scale Software Ecosystems}, year = {2022}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}}
P028;Static Analysis Techniques for Uncovering livelock conditions in C Codebases;2020;Kumar, S.;Symposium on Software Reliability;Conference;DBLP;Concurrency, Dependency Management;Static;LLM;kumarSSR2020;@InProceedings{kumarSSR2020, author = {Kumar, S.}, booktitle = {Symposium on Software Reliability}, series = {SSR '20}, title = {Static Analysis Techniques for Uncovering livelock conditions in C Codebases}, year = {2020}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}, address = {}, month = {}}
P029;A Survey of synchronization failures Research in Mining Software Repositories;2020;Nguyen, T.;Symposium on Software Reliability;Conference;DBLP;Concurrency, Dependency Management;Runtime;Human;nguyenSSR2020;@InProceedings{nguyenSSR2020, author = {Nguyen, T.}, booktitle = {Symposium on Software Reliability}, series = {SSR '20}, title = {A Survey of synchronization failures Research in Mining Software Repositories}, year = {2020}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}, address = {}, month = {}}
P030;Toward Automated Detection of thread-safety violations in Open-Source Code;2022;Smith, J.;Journal of Automated Software Engineering Research;Journal;IEEE;Concurrency, Dependency Management;Runtime;Human;smithJASER2022;@article{smithJASER2022, author = {Smith, J.}, journal = {Journal of Automated Software Engineering Research}, title = {Toward Automated Detection of thread-safety violations in Open-Source Code}, year = {2022}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}}
P031;A Taxonomy of synchronization failures in Continuous Integration Pipelines;2026;Smith, J.;Journal of Empirical Software Studies;Journal;ACM;Concurrency, Memory Safety;Build;Human;smithJESS2026;@article{smithJESS2026, author = {Smith, J.}, journal = {Journal of Empirical Software Studies}, title = {A Taxonomy of synchronization failures in Continuous Integration Pipelines}, year = {2026}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}}
P032;Automated Repair of memory leaks in Large-Scale Kotlin Repositories;2023;Andersson, L. and Silva, F.;Symposium on Software Reliability;Conference;IEEE;Memory Safety;Runtime;LLM;anderssonSSR2023;@InProceedings{anderssonSSR2023, author = {Andersson, L. and Silva, F.}, booktitle = {Symposium on Software Reliability}, series = {SSR '23}, title = {Automated Repair of memory leaks in Large-Scale Kotlin Repositories}, year = {2023}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}, address = {}, month = {}}
P033;Machine Learning Approaches for Identifying synchronization failures on GitHub;2025;Ibrahim, Y. and Doe, A. and Petrova, I.;arXiv;arXiv;arXiv;Concurrency, Memory Safety;Runtime;LLM;ibrahimArxiv2025;@misc{ibrahimArxiv2025, title = {Machine Learning Approaches for Identifying synchronization failures on GitHub}, author = {Ibrahim, Y. and Doe, A. and Petrova, I.}, archivePrefix = {arXiv}, year = {2025}, publisher = {arXiv}, doi = {10.48550/arXiv.2588.05435}, url = {https://doi.org/10.48550/arXiv.2588.05435}}
P034;Understanding the Prevalence of deadlocks in GitHub Issue Trackers;2023;Novak, D. and Lee, K.;Workshop on Static and Dynamic Analysis;Conference;IEEE;Concurrency;Runtime;LLM;novakWSDA2023;@InProceedings{novakWSDA2023, author = {Novak, D. and Lee, K.}, booktitle = {Workshop on Static and Dynamic Analysis}, series = {WSDA '23}, title = {Understanding the Prevalence of deadlocks in GitHub Issue Trackers}, year = {2023}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}, address = {}, month = {}}
P035;A Taxonomy of thread-safety violations in Continuous Integration Pipelines;2021;Andersson, L. and Fischer, R.;Journal of Software Failure Analysis;Journal;IEEE;Concurrency, Dependency Management;Build;Human;anderssonJSFA2021;@article{anderssonJSFA2021, author = {Andersson, L. and Fischer, R.}, journal = {Journal of Software Failure Analysis}, title = {A Taxonomy of thread-safety violations in Continuous Integration Pipelines}, year = {2021}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}}
P036;A Longitudinal Analysis of thread-safety violations in Popular C Projects;2020;Silva, F. and Haddad, R.;Symposium on Software Reliability;Conference;DBLP;Concurrency;Runtime;Human;silvaSSR2020;@InProceedings{silvaSSR2020, author = {Silva, F. and Haddad, R.}, booktitle = {Symposium on Software Reliability}, series = {SSR '20}, title = {A Longitudinal Analysis of thread-safety violations in Popular C Projects}, year = {2020}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}, address = {}, month = {}}
P037;Mining atomicity violations Patterns in Open-Source Java Repositories;2025;Ibrahim, Y. and Novak, D.;International Workshop on Software Dependability;Conference;ACM;Concurrency;Runtime;LLM;ibrahimIWSD2025;@InProceedings{ibrahimIWSD2025, author = {Ibrahim, Y. and Novak, D.}, booktitle = {International Workshop on Software Dependability}, series = {IWSD '25}, title = {Mining atomicity violations Patterns in Open-Source Java Repositories}, year = {2025}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}, address = {}, month = {}}
P038;Root-Cause Analysis of stack corruption bugs in Large Open-Source Projects;2023;Haddad, R. and Fischer, R.;International Conference on Software Quality Engineering;Conference;IEEE;Memory Safety;Runtime;LLM;haddadICSQE2023;@InProceedings{haddadICSQE2023, author = {Haddad, R. and Fischer, R.}, booktitle = {International Conference on Software Quality Engineering}, series = {ICSQE '23}, title = {Root-Cause Analysis of stack corruption bugs in Large Open-Source Projects}, year = {2023}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}, address = {}, month = {}}
P039;Detecting double-free errors via Static Analysis of GitHub Repositories;2026;Ibrahim, Y. and Doe, A.;arXiv;arXiv;arXiv;Memory Safety;Static;LLM;ibrahimArxiv2026a;@misc{ibrahimArxiv2026a, title = {Detecting double-free errors via Static Analysis of GitHub Repositories}, author = {Ibrahim, Y. and Doe, A.}, archivePrefix = {arXiv}, year = {2026}, publisher = {arXiv}, doi = {10.48550/arXiv.2538.03382}, url = {https://doi.org/10.48550/arXiv.2538.03382}}
P040;Mining transitive dependency breakages Patterns in Open-Source C++ Repositories;2020;Okafor, N. and Ibrahim, Y. and Andersson, L.;Symposium on Software Reliability;Conference;DBLP;Dependency Management;Build;Human;okaforSSR2020;@InProceedings{okaforSSR2020, author = {Okafor, N. and Ibrahim, Y. and Andersson, L.}, booktitle = {Symposium on Software Reliability}, series = {SSR '20}, title = {Mining transitive dependency breakages Patterns in Open-Source C++ Repositories}, year = {2020}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}, address = {}, month = {}}
P041;A Longitudinal Analysis of synchronization failures in Popular Kotlin Projects;2026;Novak, D. and Fischer, R.;Workshop on Static and Dynamic Analysis;Conference;IEEE;Concurrency;Runtime;Human;novakWSDA2026;@InProceedings{novakWSDA2026, author = {Novak, D. and Fischer, R.}, booktitle = {Workshop on Static and Dynamic Analysis}, series = {WSDA '26}, title = {A Longitudinal Analysis of synchronization failures in Popular Kotlin Projects}, year = {2026}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}, address = {}, month = {}}
P042;Root-Cause Analysis of deadlocks in Large Open-Source Projects;2020;Haddad, R.;arXiv;arXiv;arXiv;Concurrency, Dependency Management;Runtime;Human;haddadArxiv2020;@misc{haddadArxiv2020, title = {Root-Cause Analysis of deadlocks in Large Open-Source Projects}, author = {Haddad, R.}, archivePrefix = {arXiv}, year = {2020}, publisher = {arXiv}, doi = {10.48550/arXiv.2456.03577}, url = {https://doi.org/10.48550/arXiv.2456.03577}}
P043;Automated Repair of package resolution failures in Large-Scale Rust Repositories;2018;Silva, F. and Rossi, P. and Haddad, R.;Symposium on Software Reliability;Conference;DBLP;Dependency Management;Build;Human;silvaSSR2018;@InProceedings{silvaSSR2018, author = {Silva, F. and Rossi, P. and Haddad, R.}, booktitle = {Symposium on Software Reliability}, series = {SSR '18}, title = {Automated Repair of package resolution failures in Large-Scale Rust Repositories}, year = {2018}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}, address = {}, month = {}}
P044;A Taxonomy of use-after-free bugs in Continuous Integration Pipelines;2020;Kumar, S.;International Conference on Software Quality Engineering;Conference;IEEE;Memory Safety;Build;Human;kumarICSQE2020;@InProceedings{kumarICSQE2020, author = {Kumar, S.}, booktitle = {International Conference on Software Quality Engineering}, series = {ICSQE '20}, title = {A Taxonomy of use-after-free bugs in Continuous Integration Pipelines}, year = {2020}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}, address = {}, month = {}}
P045;A Taxonomy of transitive dependency breakages in Continuous Integration Pipelines;2025;Chen, W. and Andersson, L.;International Journal of Software Reliability Engineering;Journal;DBLP;Dependency Management;Build;LLM;chenIJSRE2025;@article{chenIJSRE2025, author = {Chen, W. and Andersson, L.}, journal = {International Journal of Software Reliability Engineering}, title = {A Taxonomy of transitive dependency breakages in Continuous Integration Pipelines}, year = {2025}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}}
P046;A Taxonomy of missing build artifacts in Continuous Integration Pipelines;2018;Andersson, L.;arXiv;arXiv;arXiv;Dependency Management, Memory Safety;Build;Human;anderssonArxiv2018;@misc{anderssonArxiv2018, title = {A Taxonomy of missing build artifacts in Continuous Integration Pipelines}, author = {Andersson, L.}, archivePrefix = {arXiv}, year = {2018}, publisher = {arXiv}, doi = {10.48550/arXiv.2396.02522}, url = {https://doi.org/10.48550/arXiv.2396.02522}}
P047;Build-Time Detection of dependency version conflicts in Continuous Integration Systems;2024;Smith, J. and Nguyen, T. and Garcia, M.;Workshop on Static and Dynamic Analysis;Conference;ACM;Dependency Management;Build;LLM;smithWSDA2024;@InProceedings{smithWSDA2024, author = {Smith, J. and Nguyen, T. and Garcia, M.}, booktitle = {Workshop on Static and Dynamic Analysis}, series = {WSDA '24}, title = {Build-Time Detection of dependency version conflicts in Continuous Integration Systems}, year = {2024}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}, address = {}, month = {}}
P048;Build-Time Detection of dependency version conflicts in Continuous Integration Systems;2025;Andersson, L. and Fischer, R.;Transactions on Dependable Systems Research;Journal;DBLP;Dependency Management, Memory Safety;Build;Human;anderssonTDSR2025;@article{anderssonTDSR2025, author = {Andersson, L. and Fischer, R.}, journal = {Transactions on Dependable Systems Research}, title = {Build-Time Detection of dependency version conflicts in Continuous Integration Systems}, year = {2025}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}}
